Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator
Cell Biology,BIO 381LB,10037,0,0,24,25,C,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,R,10:00:00Z,12:50:00Z,Castle Point,X,118,LAB,NA,,CH  281,
Cell Biology,BIO 381LC,10038,0,0,24,20,O,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,F,7:00:00Z,9:50:00Z,Castle Point,X,118,LAB,NA,,CH  281,
Cell Biology,BIO 381LD,10039,0,0,24,9,O,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,F,10:00:00Z,12:50:00Z,Castle Point,X,118,LAB,NA,,CH  281,
Fundamentals in Plant Biology,BIO 397A,10040,3,3,30,8,O,2019-08-26Z,2019-12-20Z,Wong K,2019F,T,14:30:00Z,17:00:00Z,Castle Point,BC,503,LEC,NA,,CH  381,
Molecular Genetics,BIO 484A,10041,4,4,30,19,O,2019-08-26Z,2019-12-20Z,Taddeo B,2019F,MF,7:00:00Z,7:50:00Z,Castle Point,B,714,LEC,NA,,CH  281,
Molecular Genetics,BIO 484LA,10042,0,0,16,9,O,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,T,7:00:00Z,9:50:00Z,Castle Point,X,323,LAB,NA,,CH  281,
Molecular Genetics,BIO 484LB,10043,0,0,16,10,O,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,T,10:00:00Z,12:50:00Z,Castle Point,X,323,LAB,NA,,CH  281,
Developmental Biology,BIO 485A,10044,3,3,30,0,X,2019-08-26Z,2019-12-20Z,Staff A,2019F,MWF,9:00:00Z,9:50:00Z,Castle Point,,,LEC,NA,,CH  381,
Physiology,BIO 583A,10045,3,3,30,19,O,2019-08-26Z,2019-12-20Z,Kumbaraci N,2019F,W,14:30:00Z,16:45:00Z,Castle Point,X,106,LEC,NA,NA,NA,NA
Computational Biology,BIO 668A,10046,3,3,20,12,O,2019-08-26Z,2019-12-20Z,Murgolo N,2019F,T,14:30:00Z,16:45:00Z,Castle Point,X,104,LEC,NA,,,
Molecular Bio Laboratory Technqs,BIO 684A,10047,3,3,20,16,O,2019-08-26Z,2019-12-20Z,Iwanicki M,2019F,S,5:00:00Z,8:00:00Z,Castle Point,X,323,LAB,NA,,,
